Image,Angle (degrees)
grayscale_Img000518.tif,14.24
grayscale_Img000519.tif,14.68
grayscale_Img000520.tif,14.23
grayscale_Img000521.tif,14.54
grayscale_Img000522.tif,14.83
grayscale_Img000523.tif,14.38
grayscale_Img000524.tif,14.37
grayscale_Img000525.tif,14.97
grayscale_Img000526.tif,14.97
grayscale_Img000527.tif,15.26
grayscale_Img000528.tif,15.56
grayscale_Img000529.tif,15.41
grayscale_Img000530.tif,15.1
grayscale_Img000531.tif,15.1
grayscale_Img000532.tif,15.09
grayscale_Img000533.tif,15.22
grayscale_Img000534.tif,16.41
grayscale_Img000535.tif,16.41
grayscale_Img000536.tif,16.26
grayscale_Img000537.tif,16.12
grayscale_Img000538.tif,15.69
grayscale_Img000539.tif,15.1
grayscale_Img000540.tif,15.85
grayscale_Img000541.tif,16.14
grayscale_Img000542.tif,16.88
grayscale_Img000543.tif,17.04
grayscale_Img000544.tif,16.75
grayscale_Img000545.tif,16.75
grayscale_Img000546.tif,17.18
grayscale_Img000547.tif,17.76
grayscale_Img000548.tif,18.03
grayscale_Img000549.tif,18.17
grayscale_Img000550.tif,17.58
grayscale_Img000551.tif,17.58
grayscale_Img000552.tif,17.72
grayscale_Img000553.tif,16.58
grayscale_Img000554.tif,16.71
grayscale_Img000555.tif,17.15
grayscale_Img000556.tif,17.57
grayscale_Img000557.tif,17.71
grayscale_Img000558.tif,16.56
grayscale_Img000559.tif,17.27
grayscale_Img000560.tif,17.71
grayscale_Img000561.tif,17.71
grayscale_Img000562.tif,17.56
grayscale_Img000563.tif,15.83
grayscale_Img000564.tif,15.52
grayscale_Img000565.tif,16.41
grayscale_Img000566.tif,16.83
grayscale_Img000567.tif,16.99
grayscale_Img000568.tif,16.56
grayscale_Img000569.tif,17.42
grayscale_Img000570.tif,17.0
grayscale_Img000571.tif,16.73
grayscale_Img000572.tif,16.59
grayscale_Img000573.tif,16.72
grayscale_Img000574.tif,17.31
grayscale_Img000575.tif,16.89
grayscale_Img000576.tif,17.18
grayscale_Img000577.tif,17.32
grayscale_Img000578.tif,17.89
grayscale_Img000579.tif,17.72
grayscale_Img000580.tif,17.56
grayscale_Img000581.tif,16.71
grayscale_Img000582.tif,17.3
grayscale_Img000583.tif,18.32
grayscale_Img000584.tif,19.05
grayscale_Img000585.tif,19.36
grayscale_Img000586.tif,20.77
grayscale_Img000587.tif,17.91
grayscale_Img000588.tif,16.75
grayscale_Img000589.tif,16.42
grayscale_Img000590.tif,16.71
grayscale_Img000591.tif,16.25
grayscale_Img000592.tif,16.56
grayscale_Img000593.tif,16.86
grayscale_Img000594.tif,15.68
grayscale_Img000595.tif,16.13
grayscale_Img000596.tif,15.96
grayscale_Img000597.tif,15.95
grayscale_Img000598.tif,16.25
