Image,Angle (degrees)
grayscale_Img000534.tif,11.68
grayscale_Img000535.tif,11.07
grayscale_Img000536.tif,11.07
grayscale_Img000537.tif,11.06
grayscale_Img000538.tif,10.61
grayscale_Img000539.tif,10.31
grayscale_Img000540.tif,10.3
grayscale_Img000541.tif,10.91
grayscale_Img000542.tif,12.12
grayscale_Img000543.tif,12.28
grayscale_Img000544.tif,12.88
grayscale_Img000545.tif,12.73
grayscale_Img000546.tif,13.04
grayscale_Img000547.tif,13.34
grayscale_Img000548.tif,11.23
grayscale_Img000549.tif,12.28
grayscale_Img000550.tif,12.74
grayscale_Img000551.tif,13.04
grayscale_Img000552.tif,12.28
grayscale_Img000553.tif,12.58
grayscale_Img000554.tif,12.28
grayscale_Img000555.tif,12.72
grayscale_Img000556.tif,12.27
grayscale_Img000557.tif,12.28
grayscale_Img000558.tif,11.97
grayscale_Img000559.tif,12.58
grayscale_Img000560.tif,11.99
grayscale_Img000561.tif,12.14
grayscale_Img000562.tif,11.23
grayscale_Img000563.tif,11.38
grayscale_Img000564.tif,10.93
grayscale_Img000565.tif,11.08
grayscale_Img000566.tif,12.43
grayscale_Img000567.tif,12.87
grayscale_Img000568.tif,12.55
grayscale_Img000569.tif,13.9
grayscale_Img000570.tif,14.19
grayscale_Img000571.tif,14.05
grayscale_Img000572.tif,14.95
grayscale_Img000573.tif,13.18
grayscale_Img000574.tif,14.67
grayscale_Img000575.tif,15.26
grayscale_Img000576.tif,14.49
grayscale_Img000577.tif,12.12
grayscale_Img000578.tif,12.13
grayscale_Img000579.tif,12.28
grayscale_Img000580.tif,12.13
grayscale_Img000581.tif,12.12
grayscale_Img000582.tif,11.36
grayscale_Img000583.tif,10.45
grayscale_Img000584.tif,10.76
grayscale_Img000585.tif,10.9
grayscale_Img000586.tif,11.06
grayscale_Img000587.tif,11.37
grayscale_Img000588.tif,10.63
grayscale_Img000589.tif,11.68
grayscale_Img000590.tif,12.28
grayscale_Img000591.tif,11.68
grayscale_Img000592.tif,12.43
grayscale_Img000593.tif,13.04
grayscale_Img000594.tif,13.77
grayscale_Img000595.tif,14.06
grayscale_Img000596.tif,14.35
grayscale_Img000597.tif,14.35
grayscale_Img000598.tif,13.88
grayscale_Img000599.tif,12.69
grayscale_Img000600.tif,11.21
grayscale_Img000601.tif,12.11
grayscale_Img000602.tif,12.57
grayscale_Img000603.tif,12.42
grayscale_Img000604.tif,12.12
grayscale_Img000605.tif,12.27
grayscale_Img000606.tif,12.43
grayscale_Img000607.tif,12.73
grayscale_Img000608.tif,12.74
grayscale_Img000609.tif,13.49
grayscale_Img000610.tif,13.94
grayscale_Img000611.tif,14.69
grayscale_Img000612.tif,13.78
grayscale_Img000613.tif,13.03
grayscale_Img000614.tif,13.32
grayscale_Img000615.tif,13.32
grayscale_Img000616.tif,11.38
grayscale_Img000617.tif,10.32
grayscale_Img000618.tif,10.02
grayscale_Img000619.tif,10.16
grayscale_Img000620.tif,9.41
grayscale_Img000621.tif,9.56
grayscale_Img000622.tif,10.32
grayscale_Img000623.tif,11.07
grayscale_Img000624.tif,11.98
grayscale_Img000625.tif,12.88
grayscale_Img000626.tif,14.07
grayscale_Img000627.tif,14.66
grayscale_Img000628.tif,14.65
grayscale_Img000629.tif,14.65
grayscale_Img000630.tif,14.95
grayscale_Img000631.tif,14.65
grayscale_Img000632.tif,13.89
grayscale_Img000633.tif,14.19
grayscale_Img000634.tif,14.19
grayscale_Img000635.tif,14.64
grayscale_Img000636.tif,14.8
grayscale_Img000637.tif,15.11
grayscale_Img000638.tif,14.81
grayscale_Img000639.tif,12.7
grayscale_Img000640.tif,12.86
grayscale_Img000641.tif,13.02
grayscale_Img000642.tif,13.48
grayscale_Img000643.tif,13.77
grayscale_Img000644.tif,13.33
grayscale_Img000645.tif,13.03
grayscale_Img000646.tif,12.88
grayscale_Img000647.tif,12.58
grayscale_Img000648.tif,12.59
grayscale_Img000649.tif,12.89
grayscale_Img000650.tif,13.33
grayscale_Img000651.tif,13.18
grayscale_Img000652.tif,13.63
grayscale_Img000653.tif,13.92
grayscale_Img000654.tif,12.7
grayscale_Img000655.tif,13.6
grayscale_Img000656.tif,14.05
grayscale_Img000657.tif,14.5
grayscale_Img000658.tif,13.13
grayscale_Img000659.tif,12.98
grayscale_Img000660.tif,12.99
grayscale_Img000661.tif,11.36
grayscale_Img000662.tif,11.96
grayscale_Img000663.tif,11.82
grayscale_Img000664.tif,12.58
grayscale_Img000665.tif,11.68
grayscale_Img000666.tif,11.07
grayscale_Img000667.tif,11.08
grayscale_Img000668.tif,11.38
grayscale_Img000669.tif,11.68
grayscale_Img000670.tif,11.98
grayscale_Img000671.tif,12.58
grayscale_Img000672.tif,12.88
grayscale_Img000673.tif,11.68
grayscale_Img000674.tif,12.72
grayscale_Img000675.tif,13.16
grayscale_Img000676.tif,13.6
grayscale_Img000677.tif,14.21
grayscale_Img000678.tif,14.66
grayscale_Img000679.tif,14.51
grayscale_Img000680.tif,14.51
grayscale_Img000681.tif,14.21
grayscale_Img000682.tif,12.43
grayscale_Img000683.tif,12.58
grayscale_Img000684.tif,11.84
grayscale_Img000685.tif,11.68
grayscale_Img000686.tif,11.68
grayscale_Img000687.tif,11.98
grayscale_Img000688.tif,12.27
grayscale_Img000689.tif,12.85
grayscale_Img000690.tif,13.28
grayscale_Img000691.tif,13.73
grayscale_Img000692.tif,13.29
grayscale_Img000693.tif,13.3
grayscale_Img000694.tif,14.2
grayscale_Img000695.tif,14.51
grayscale_Img000696.tif,13.94
grayscale_Img000697.tif,15.15
grayscale_Img000698.tif,11.82
grayscale_Img000699.tif,11.22
grayscale_Img000700.tif,11.67
grayscale_Img000701.tif,11.37
grayscale_Img000702.tif,12.12
grayscale_Img000703.tif,11.66
grayscale_Img000704.tif,11.5
grayscale_Img000705.tif,11.8
grayscale_Img000706.tif,12.69
grayscale_Img000707.tif,12.84
grayscale_Img000708.tif,13.3
grayscale_Img000709.tif,13.62
grayscale_Img000710.tif,12.88
grayscale_Img000711.tif,12.88
grayscale_Img000712.tif,13.48
grayscale_Img000713.tif,13.49
grayscale_Img000714.tif,13.94
grayscale_Img000715.tif,13.19
grayscale_Img000716.tif,12.28
grayscale_Img000717.tif,12.12
grayscale_Img000718.tif,13.16
grayscale_Img000719.tif,14.2
grayscale_Img000720.tif,15.11
grayscale_Img000721.tif,15.86
grayscale_Img000722.tif,16.46
grayscale_Img000723.tif,15.25
grayscale_Img000724.tif,14.8
grayscale_Img000725.tif,13.75
grayscale_Img000726.tif,14.21
grayscale_Img000727.tif,14.51
grayscale_Img000728.tif,13.62
grayscale_Img000729.tif,12.29
grayscale_Img000730.tif,11.38
grayscale_Img000731.tif,11.53
grayscale_Img000732.tif,11.83
grayscale_Img000733.tif,11.08
grayscale_Img000734.tif,11.69
grayscale_Img000735.tif,12.73
grayscale_Img000736.tif,11.82
grayscale_Img000737.tif,13.6
grayscale_Img000738.tif,14.2
grayscale_Img000739.tif,14.35
grayscale_Img000740.tif,13.73
grayscale_Img000741.tif,13.59
grayscale_Img000742.tif,13.73
grayscale_Img000743.tif,13.59
grayscale_Img000744.tif,13.28
grayscale_Img000745.tif,10.76
grayscale_Img000746.tif,10.61
grayscale_Img000747.tif,10.31
grayscale_Img000748.tif,10.16
grayscale_Img000749.tif,9.85
grayscale_Img000750.tif,10.45
grayscale_Img000751.tif,10.31
grayscale_Img000752.tif,9.41
grayscale_Img000753.tif,9.71
grayscale_Img000754.tif,10.16
grayscale_Img000755.tif,10.76
grayscale_Img000756.tif,11.21
grayscale_Img000757.tif,11.07
grayscale_Img000758.tif,10.61
grayscale_Img000759.tif,11.06
grayscale_Img000760.tif,11.21
grayscale_Img000761.tif,11.06
grayscale_Img000762.tif,11.66
grayscale_Img000763.tif,12.86
grayscale_Img000764.tif,12.85
grayscale_Img000765.tif,12.86
grayscale_Img000766.tif,12.4
grayscale_Img000767.tif,10.17
grayscale_Img000768.tif,12.13
grayscale_Img000769.tif,13.03
grayscale_Img000770.tif,13.79
grayscale_Img000771.tif,13.05
grayscale_Img000772.tif,13.95
grayscale_Img000773.tif,11.23
grayscale_Img000774.tif,11.69
grayscale_Img000775.tif,12.9
grayscale_Img000776.tif,12.9
grayscale_Img000777.tif,12.44
grayscale_Img000778.tif,13.04
grayscale_Img000779.tif,14.24
grayscale_Img000780.tif,14.99
grayscale_Img000781.tif,15.57
grayscale_Img000782.tif,15.42
grayscale_Img000783.tif,13.33
grayscale_Img000784.tif,12.14
grayscale_Img000785.tif,11.83
grayscale_Img000786.tif,12.14
grayscale_Img000787.tif,11.99
grayscale_Img000788.tif,12.14
grayscale_Img000789.tif,11.68
grayscale_Img000790.tif,11.52
grayscale_Img000791.tif,11.97
grayscale_Img000792.tif,11.08
grayscale_Img000793.tif,11.53
grayscale_Img000794.tif,11.06
grayscale_Img000795.tif,9.87
grayscale_Img000796.tif,9.56
grayscale_Img000797.tif,9.87
grayscale_Img000798.tif,10.02
grayscale_Img000799.tif,10.32
grayscale_Img000800.tif,11.07
grayscale_Img000801.tif,11.66
grayscale_Img000802.tif,12.86
grayscale_Img000803.tif,13.61
grayscale_Img000804.tif,13.76
grayscale_Img000805.tif,14.2
grayscale_Img000806.tif,14.49
grayscale_Img000807.tif,14.18
grayscale_Img000808.tif,14.65
grayscale_Img000809.tif,14.65
grayscale_Img000810.tif,14.21
grayscale_Img000811.tif,12.59
grayscale_Img000812.tif,12.89
grayscale_Img000813.tif,14.24
grayscale_Img000814.tif,15.29
grayscale_Img000815.tif,15.3
grayscale_Img000816.tif,15.6
grayscale_Img000817.tif,14.38
grayscale_Img000818.tif,15.27
grayscale_Img000819.tif,15.86
